cohort,class_id,analysis_tier,manuscript_role,display_policy,label_action,phase15_label_action,phase15_lock_status,label_en_current,label_zh_current,label_confidence,manual_review_reason,phase15_review_reason,phase14_stability_flag_count,phase14_flagged_outcomes,phase14_flagged_adjustments,phase14_flag_reasons,phase14_effect_ratio_min,phase14_effect_ratio_max
CHARLS,CHARLS_C1,strict_primary,primary_validation,main_results,manual_review_before_lock,manual_review_before_lock,manual_review_required,intermediate-burden severity-aligned,中等负担严重度一致型,low,generic severity-aligned label,generic severity-aligned label,0,,,,,
CHARLS,CHARLS_C2,strict_primary,primary_validation,main_results,manual_review_before_lock,manual_review_before_lock,manual_review_required,elevated-burden severity-aligned,较高负担严重度一致型,low,generic severity-aligned label,generic severity-aligned label,0,,,,,
CHARLS,CHARLS_C3,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,functional-dominant high-burden,功能主导型高负担,high,,,0,,,,,
ELSA,ELSA_C1,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,,,0,,,,,
ELSA,ELSA_C2,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,,,0,,,,,
ELSA,ELSA_C3,strict_primary,primary_validation,main_results,manual_review_before_lock,manual_review_before_lock,manual_review_required,elevated-burden severity-aligned,较高负担严重度一致型,low,generic severity-aligned label,generic severity-aligned label,0,,,,,
ELSA,ELSA_C4,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,,,0,,,,,
ELSA,ELSA_C5,strict_primary,primary_validation,main_results,lock_candidate,manual_review_before_lock,manual_review_required,functional-dominant high-burden,功能主导型高负担,high,,Phase 14 covariate sensitivity stability flag,1,functional_deterioration_ge_0_5sd,expanded_core,significance_change,0.8233,0.8233
HRS,HRS_C1,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,moderate,,,0,,,,,
HRS,HRS_C2,strict_primary,primary_validation,main_results,lock_candidate,lock_candidate,ready_for_manual_lock,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,,,0,,,,,
HRS,HRS_C3,strict_primary,primary_validation,main_results,manual_review_before_lock,manual_review_before_lock,manual_review_required,elevated-burden severity-aligned,较高负担严重度一致型,provisional,mortality HR drift,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,functional_deterioration_ge_0_5sd,minimal_plus_bmi,material_log_change,0.7756,0.7756
HRS,HRS_C4,strict_primary,primary_validation,main_results,manual_review_before_lock,manual_review_before_lock,manual_review_required,affective-dominant elevated-burden,心理/抑郁主导型较高负担,provisional,mortality HR drift,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,functional_deterioration_ge_0_5sd,minimal_plus_bmi,material_log_change,0.7569,0.7569
HRS,HRS_C5,strict_primary,primary_validation,main_results,manual_review_before_lock,manual_review_before_lock,manual_review_required,functional-dominant high-burden,功能主导型高负担,provisional,mortality HR drift,mortality HR drift; Phase 14 covariate sensitivity stability flag,2,functional_deterioration_ge_0_5sd,minimal_core; minimal_plus_bmi,direction_change+significance_change+material_log_change; significance_change,0.6701,0.8374
KLoSA,KLoSA_C1,bridge_sensitivity,bridge_sensitivity_validation,sensitivity_or_supplement,lock_candidate,lock_candidate,ready_for_manual_lock,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,bridge sensitivity cohort,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,,,,,
