cohort,class_id,phase16_label_status,label_en_final,suggested_conservative_label,phase15_review_reason,human_review_question,recommended_phase17_action,class_n,class_pct,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_or_formatted,mortality_hr_formatted,mortality_drift_flag,phase14_stability_flag_count,phase14_flag_reasons
CHARLS,CHARLS_C1,review_required_not_locked,intermediate-burden severity-aligned,broad intermediate-burden profile,generic severity-aligned label,Is a domain-neutral burden label preferable to a generic severity-aligned name?,manual_review_before_final_tables,4419,73.42,-0.23,-0.52,-0.15,-0.2,-0.06,1.00 (1.00-1.00),1.00 (1.00-1.00),0,0,
CHARLS,CHARLS_C2,review_required_not_locked,elevated-burden severity-aligned,broad elevated-burden profile,generic severity-aligned label,Is a domain-neutral burden label preferable to a generic severity-aligned name?,manual_review_before_final_tables,687,11.41,0.22,0.27,0.3,0.22,0.09,0.77 (0.64-0.92),1.23 (0.97-1.54),0,0,
ELSA,ELSA_C3,review_required_not_locked,elevated-burden severity-aligned,broad elevated-burden profile,generic severity-aligned label,Is a domain-neutral burden label preferable to a generic severity-aligned name?,manual_review_before_final_tables,624,10.22,0.37,0.57,0.3,0.31,0.3,1.48 (1.17-1.86),2.10 (1.47-3.01),0,0,
ELSA,ELSA_C5,review_required_not_locked,functional-dominant high-burden,functional-dominant high-burden [requires sensitivity caveat],Phase 14 covariate sensitivity stability flag,Does covariate sensitivity change the clinical interpretation enough to rename the class?,manual_review_before_final_tables,659,10.8,1.04,2.48,0.39,0.82,0.48,0.94 (0.74-1.19),3.01 (2.16-4.20),0,1,significance_change
HRS,HRS_C3,review_required_not_locked,elevated-burden severity-aligned,elevated-burden severity-aligned [domain-profile label; avoid mortality-driven interpretation],mortality HR drift; Phase 14 covariate sensitivity stability flag,Should the final label avoid mortality language and rely only on the baseline domain profile?,manual_review_before_final_tables,870,8.53,0.4,0.4,0.39,0.35,0.46,1.92 (1.62-2.27),2.22 (2.02-2.45),1,1,material_log_change
HRS,HRS_C4,review_required_not_locked,affective-dominant elevated-burden,affective-dominant elevated-burden [domain-profile label; avoid mortality-driven interpretation],mortality HR drift; Phase 14 covariate sensitivity stability flag,Should the final label avoid mortality language and rely only on the baseline domain profile?,manual_review_before_final_tables,659,6.46,0.69,0.77,0.49,1.5,0.01,1.85 (1.53-2.23),2.14 (1.92-2.38),1,1,material_log_change
HRS,HRS_C5,review_required_not_locked,functional-dominant high-burden,functional-dominant high-burden [domain-profile label; avoid mortality-driven interpretation],mortality HR drift; Phase 14 covariate sensitivity stability flag,Should the final label avoid mortality language and rely only on the baseline domain profile?,manual_review_before_final_tables,649,6.36,1.14,2.12,0.65,0.93,0.86,1.42 (1.16-1.72),2.88 (2.59-3.19),1,2,direction_change+significance_change+material_log_change; significance_change
KLoSA,KLoSA_C2,review_required_not_locked,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden [domain-profile label; avoid mortality-driven interpretation],mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,Should the final label avoid mortality language and rely only on the baseline domain profile?,manual_review_before_final_tables,1428,34.99,-0.02,-0.3,-0.21,-0.15,0.58,1.39 (1.19-1.62),0.96 (0.80-1.15),1,1,direction_change
SHARE,SHARE_C4,review_required_not_locked,elevated-burden with spared functional,elevated-burden with spared functional [requires sensitivity caveat],bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,Does covariate sensitivity change the clinical interpretation enough to rename the class?,manual_review_before_final_tables,6774,18.81,0.67,0.32,0.84,0.66,0.86,2.51 (2.22-2.84),2.55 (2.21-2.95),0,2,material_log_change
SHARE,SHARE_C5,review_required_not_locked,functional/cognitive-dominant high-burden,functional/cognitive-dominant high-burden [domain-profile label; avoid mortality-driven interpretation],mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,Should the final label avoid mortality language and rely only on the baseline domain profile?,manual_review_before_final_tables,3068,8.52,1.07,2.23,1.02,0.64,0.4,1.21 (1.01-1.45),3.64 (3.13-4.24),1,3,direction_change+significance_change+material_log_change; significance_change
LASI,LASI_C1,baseline_only_hold,intermediate-burden with spared cardiometabolic,intermediate-burden with spared cardiometabolic [baseline-profile only],baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,Should this baseline-only label be shown only in descriptive tables until LASI follow-up is added?,hold_outcome_validated_label,15915,58.01,-0.19,-0.1,0.09,-0.02,-0.73,1.00 (1.00-1.00),,0,0,
LASI,LASI_C2,baseline_only_hold,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden [baseline-profile only],baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,Should this baseline-only label be shown only in descriptive tables until LASI follow-up is added?,hold_outcome_validated_label,5641,20.56,-0.04,-0.61,-0.38,-0.13,0.95,,,0,0,
LASI,LASI_C3,baseline_only_hold,cardiometabolic-dominant elevated-burden,cardiometabolic-dominant elevated-burden [baseline-profile only],baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,Should this baseline-only label be shown only in descriptive tables until LASI follow-up is added?,hold_outcome_validated_label,5877,21.42,0.51,0.72,0.13,0.17,1.04,,,0,0,
