analysis_set,analysis_tier,cohort,class_id,class,class_n,class_pct,label_en_final,label_zh_final,label_en_display,label_zh_display,phase16_label_status,phase15_review_reason,label_confidence,high_domains,spared_domains,outcome_flags,label_en,label_zh,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,chronic_progression_ge_1_condition_event_pct,chronic_or_formatted,death_pct,mortality_hr_formatted,mortality_drift_flag,profile_label,figure_label_short,phase16_marker,phase16_lock_rule,phase14_stability_flag_count,phase18_label_en_v0,phase18_label_en_display_v0,phase18_decision_v0,phase18_marker,phase18_rationale,human_signoff_required,phase18_figure_label_short_v0
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C1,1,4419,73.42,intermediate-burden severity-aligned,中等负担严重度一致型,intermediate-burden severity-aligned [review],中等负担严重度一致型 [review],review_required_not_locked,generic severity-aligned label,low,,,,intermediate-burden severity-aligned,中等负担严重度一致型,-0.23,-0.52,-0.15,-0.2,-0.06,32.71,1.00 (1.00-1.00),47.93,1.00 (1.00-1.00),8.94,1.00 (1.00-1.00),0,intermediate_severity_aligned,C1: intermediate severity*,*,Requires manual review before final label lock.,0,broad intermediate-burden profile,broad intermediate-burden profile [signoff],auto_renamed_conservative,signoff,Generic severity-aligned label replaced with domain-neutral burden-profile label.,1,C1: broad intermediate profile [signoff]
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C2,2,687,11.41,elevated-burden severity-aligned,较高负担严重度一致型,elevated-burden severity-aligned [review],较高负担严重度一致型 [review],review_required_not_locked,generic severity-aligned label,low,,,,elevated-burden severity-aligned,较高负担严重度一致型,0.22,0.27,0.3,0.22,0.09,29.88,0.77 (0.64-0.92),49.47,1.08 (0.92-1.28),13.31,1.23 (0.97-1.54),0,intermediate_severity_aligned,C2: elevated severity*,*,Requires manual review before final label lock.,0,broad elevated-burden profile,broad elevated-burden profile [signoff],auto_renamed_conservative,signoff,Generic severity-aligned label replaced with domain-neutral burden-profile label.,1,C2: broad elevated profile [signoff]
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C3,3,913,15.17,functional-dominant high-burden,功能主导型高负担,functional-dominant high-burden,功能主导型高负担,locked_for_draft,,high,functional,cardiometabolic,mortality-risk,functional-dominant high-burden,功能主导型高负担,0.84,1.84,0.59,0.7,0.24,23.43,0.45 (0.37-0.54),49.76,1.12 (0.97-1.31),25.7,1.84 (1.55-2.18),0,high_burden_high_functional_spared_cardiometabolic_chronic,C3: functional high,,Can be used in draft tables/figures after final human sign-off.,0,functional-dominant high-burden,functional-dominant high-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C3: functional high
strict_earliest_primary,strict_primary,ELSA,ELSA_C1,1,2604,42.66,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,locked_for_draft,,moderate,,cardiometabolic,,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,-0.41,-0.42,-0.2,-0.2,-0.84,18.54,1.00 (1.00-1.00),61.38,1.00 (1.00-1.00),2.89,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic,C1: intermediate spared cardiomet,,Can be used in draft tables/figures after final human sign-off.,0,intermediate-burden with spared cardiometabolic,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,C1: intermediate spared cardiomet
strict_earliest_primary,strict_primary,ELSA,ELSA_C2,2,1668,27.33,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,locked_for_draft,,high,cardiometabolic,functional,,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,-0.06,-0.42,-0.06,-0.14,0.38,25.93,1.18 (1.00-1.40),64.21,1.18 (1.03-1.36),5.97,1.47 (1.06-2.03),0,intermediate_high_cardiometabolic_chronic_spared_functional,C2: cardiomet intermediate,,Can be used in draft tables/figures after final human sign-off.,0,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C2: cardiomet intermediate
strict_earliest_primary,strict_primary,ELSA,ELSA_C3,3,624,10.22,elevated-burden severity-aligned,较高负担严重度一致型,elevated-burden severity-aligned [review],较高负担严重度一致型 [review],review_required_not_locked,generic severity-aligned label,low,,,mortality-risk,elevated-burden severity-aligned,较高负担严重度一致型,0.37,0.57,0.3,0.31,0.3,37.5,1.48 (1.17-1.86),65.32,1.32 (1.07-1.63),11.72,2.10 (1.47-3.01),0,intermediate_severity_aligned,C3: elevated severity*,*,Requires manual review before final label lock.,0,broad elevated-burden profile,broad elevated-burden profile [signoff],auto_renamed_conservative,signoff,Generic severity-aligned label replaced with domain-neutral burden-profile label.,1,C3: broad elevated profile [signoff]
strict_earliest_primary,strict_primary,ELSA,ELSA_C4,4,549,8.99,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,locked_for_draft,,high,cardiometabolic,functional;affective,functional-risk;mortality-risk,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,0.41,-0.42,0.2,0.03,1.83,43.89,2.12 (1.68-2.67),60.41,1.06 (0.86-1.31),12.91,2.53 (1.77-3.62),0,intermediate_high_cardiometabolic_chronic_spared_functional_affective,C4: cardiomet elevated,,Can be used in draft tables/figures after final human sign-off.,0,cardiometabolic-dominant elevated-burden,cardiometabolic-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C4: cardiomet elevated
strict_earliest_primary,strict_primary,ELSA,ELSA_C5,5,659,10.8,functional-dominant high-burden,功能主导型高负担,functional-dominant high-burden [review],功能主导型高负担 [review],review_required_not_locked,Phase 14 covariate sensitivity stability flag,high,functional,cognitive;cardiometabolic,mortality-risk,functional-dominant high-burden,功能主导型高负担,1.04,2.48,0.39,0.82,0.48,28.1,0.94 (0.74-1.19),66.28,1.37 (1.11-1.68),15.05,3.01 (2.16-4.20),0,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,C5: functional high*,*,Requires manual review before final label lock.,1,functional-dominant high-burden,functional-dominant high-burden [caveat],locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,C5: functional high [cav]
strict_earliest_primary,strict_primary,HRS,HRS_C1,1,3596,35.25,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,locked_for_draft,,moderate,,cardiometabolic,,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,-0.49,-0.41,-0.3,-0.27,-0.99,26.56,1.00 (1.00-1.00),77.38,1.00 (1.00-1.00),36.64,1.00 (1.00-1.00),0,intermediate_spared_cardiometabolic_chronic,C1: low spared cardiomet,,Can be used in draft tables/figures after final human sign-off.,0,low-burden with spared cardiometabolic,low-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,C1: low spared cardiomet
strict_earliest_primary,strict_primary,HRS,HRS_C2,2,4428,43.4,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,locked_for_draft,,high,cardiometabolic,functional,functional-risk;mortality-risk,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,-0.03,-0.41,-0.01,-0.21,0.51,42.76,1.67 (1.51-1.85),67.02,0.70 (0.63-0.78),61.53,1.64 (1.54-1.76),0,intermediate_high_cardiometabolic_chronic_spared_functional,C2: cardiomet intermediate,,Can be used in draft tables/figures after final human sign-off.,0,cardiometabolic-dominant intermediate-burden,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,C2: cardiomet intermediate
