cohort,class_id,class,phase16_label_status,phase18_label_en_v0,phase18_decision_v0,phase18_marker,phase18_rationale,human_signoff_required,phase16_label_en,phase15_review_reason,phase14_stability_flag_count,phase14_flag_reasons
CHARLS,CHARLS_C1,1,review_required_not_locked,broad intermediate-burden profile,auto_renamed_conservative,signoff,Generic severity-aligned label replaced with domain-neutral burden-profile label.,1,intermediate-burden severity-aligned,generic severity-aligned label,0,
CHARLS,CHARLS_C2,2,review_required_not_locked,broad elevated-burden profile,auto_renamed_conservative,signoff,Generic severity-aligned label replaced with domain-neutral burden-profile label.,1,elevated-burden severity-aligned,generic severity-aligned label,0,
CHARLS,CHARLS_C3,3,locked_for_draft,functional-dominant high-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,functional-dominant high-burden,,0,
ELSA,ELSA_C1,1,locked_for_draft,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,intermediate-burden with spared cardiometabolic,,0,
ELSA,ELSA_C2,2,locked_for_draft,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,cardiometabolic-dominant intermediate-burden,,0,
ELSA,ELSA_C3,3,review_required_not_locked,broad elevated-burden profile,auto_renamed_conservative,signoff,Generic severity-aligned label replaced with domain-neutral burden-profile label.,1,elevated-burden severity-aligned,generic severity-aligned label,0,
ELSA,ELSA_C4,4,locked_for_draft,cardiometabolic-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,cardiometabolic-dominant elevated-burden,,0,
ELSA,ELSA_C5,5,review_required_not_locked,functional-dominant high-burden,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,functional-dominant high-burden,Phase 14 covariate sensitivity stability flag,1,significance_change
HRS,HRS_C1,1,locked_for_draft,low-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,low-burden with spared cardiometabolic,,0,
HRS,HRS_C2,2,locked_for_draft,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,cardiometabolic-dominant intermediate-burden,,0,
HRS,HRS_C3,3,review_required_not_locked,elevated-burden severity-aligned,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,elevated-burden severity-aligned,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,material_log_change
HRS,HRS_C4,4,review_required_not_locked,affective-dominant elevated-burden,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,affective-dominant elevated-burden,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,material_log_change
HRS,HRS_C5,5,review_required_not_locked,functional-dominant high-burden,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,functional-dominant high-burden,mortality HR drift; Phase 14 covariate sensitivity stability flag,2,direction_change+significance_change+material_log_change; significance_change
MHAS,MHAS_C1,1,locked_for_draft,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,intermediate-burden with spared cardiometabolic,,0,
MHAS,MHAS_C2,2,locked_for_draft,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,cardiometabolic-dominant intermediate-burden,,0,
MHAS,MHAS_C3,3,locked_for_draft,cardiometabolic-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,cardiometabolic-dominant elevated-burden,,0,
MHAS,MHAS_C4,4,locked_for_draft,functional-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,functional-dominant elevated-burden,,0,
MHAS,MHAS_C5,5,locked_for_draft,functional-dominant elevated-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,functional-dominant elevated-burden,,0,
KLoSA,KLoSA_C1,1,locked_for_draft,intermediate-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,intermediate-burden with spared cardiometabolic,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,
KLoSA,KLoSA_C2,2,review_required_not_locked,cardiometabolic-dominant intermediate-burden,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,cardiometabolic-dominant intermediate-burden,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,1,direction_change
KLoSA,KLoSA_C3,3,locked_for_draft,functional/cardiometabolic-dominant high-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,functional/cardiometabolic-dominant high-burden,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,
SHARE,SHARE_C1,1,locked_for_draft,low-burden with spared cardiometabolic,accepted_from_phase16,none,No Phase 17 review flag.,0,low-burden with spared cardiometabolic,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,
SHARE,SHARE_C2,2,locked_for_draft,cardiometabolic-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,cardiometabolic-dominant intermediate-burden,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,
SHARE,SHARE_C3,3,locked_for_draft,affective-dominant intermediate-burden,accepted_from_phase16,none,No Phase 17 review flag.,0,affective-dominant intermediate-burden,bridge sensitivity cohort; Bridge-sensitivity cohort display needs explicit footnote,0,
SHARE,SHARE_C4,4,review_required_not_locked,elevated-burden with spared functional,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,elevated-burden with spared functional,bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,2,material_log_change
SHARE,SHARE_C5,5,review_required_not_locked,functional/cognitive-dominant high-burden,locked_with_caveat_auto_v0,caveat,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,1,functional/cognitive-dominant high-burden,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,3,direction_change+significance_change+material_log_change; significance_change
LASI,LASI_C1,1,baseline_only_hold,intermediate-burden with spared cardiometabolic,baseline_only_hold,hold,LASI lacks follow-up validation in the current cleaned CSV pass.,1,intermediate-burden with spared cardiometabolic,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,
LASI,LASI_C2,2,baseline_only_hold,cardiometabolic-dominant intermediate-burden,baseline_only_hold,hold,LASI lacks follow-up validation in the current cleaned CSV pass.,1,cardiometabolic-dominant intermediate-burden,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,
LASI,LASI_C3,3,baseline_only_hold,cardiometabolic-dominant elevated-burden,baseline_only_hold,hold,LASI lacks follow-up validation in the current cleaned CSV pass.,1,cardiometabolic-dominant elevated-burden,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,
