workbook,sheet_name,description
additional_file_1_harmonization_and_cohort_construction.xlsx,README,Workbook overview.
additional_file_1_harmonization_and_cohort_construction.xlsx,item_crosswalk,Item-level cohort-domain harmonization crosswalk.
additional_file_1_harmonization_and_cohort_construction.xlsx,cohort_tier_lock,Locked evidence-tier and analysis-role definitions.
additional_file_1_harmonization_and_cohort_construction.xlsx,harmonization_risk_matrix,Cohort-by-domain measurement risk matrix.
additional_file_1_harmonization_and_cohort_construction.xlsx,baseline_covariates,"Baseline clinical, design and covariate availability metadata."
additional_file_1_harmonization_and_cohort_construction.xlsx,age_distribution,Women aged 50 years or older split into 50-64 and 65+ strata by cohort.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,README,Workbook overview.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_stability_summary,Selected GMM stability summaries.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_covariance,Covariance diagnostics for selected GMM solutions.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,class_dictionary,Descriptive class labels and domain signatures.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,profile_summary,Descriptive profile distribution summaries.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,profile_guardrails,Profile interpretation guardrail table.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,algorithm_robustness,Alternative algorithm agreement summaries.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,sensitivity_profiles,Sensitivity-tier descriptive profile support.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_bootstrap_ext,Extended 200-refit bootstrap robustness summary.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_replicates_ext,Bootstrap replicate-level stability outputs.
additional_file_3_lfo_functional_change_associations.xlsx,README,Workbook overview.
additional_file_3_lfo_functional_change_associations.xlsx,decoupled_comparison,LFO profile versus continuous-score comparator outputs.
additional_file_3_lfo_functional_change_associations.xlsx,leakage_audit,Functional endpoint leakage and LFO design audit.
additional_file_3_lfo_functional_change_associations.xlsx,strict_core_lfo,Strict-core LFO functional-change association table.
additional_file_3_lfo_functional_change_associations.xlsx,lfo_sensitivity,SHARE/KLoSA sensitivity rows.
additional_file_3_lfo_functional_change_associations.xlsx,class_risks,Class-level functional-change risks.
additional_file_3_lfo_functional_change_associations.xlsx,auc_bootstrap,AUC bootstrap intervals and deltas.
additional_file_3_lfo_functional_change_associations.xlsx,heterogeneity,Cross-cohort functional-change heterogeneity summaries.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,README,Workbook overview.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,mortality_guardrail,Secondary mortality guardrail table.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,mortality_formal,Formal secondary Cox model outputs.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,hospitalization_models,Header-available hospitalization candidate models.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,hospitalization_status,Hospitalization endpoint status by cohort.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,calibration,Apparent in-sample calibration diagnostics.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,decision_curve,Apparent decision-curve summaries.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,prediction_guardrails,Prediction interpretation guardrails.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,heterogeneity,Cross-cohort mortality heterogeneity summaries.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,endpoint_feasibility,Hard-endpoint feasibility matrix.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,README,Workbook overview.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_variable_audit,Cleaned-header survey-design variable audit.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_raw_codebook,Raw/codebook/dofile survey-design audit evidence.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_triplet_status,"Weight, PSU and strata triplet availability status."
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,male_summary,All-sex baseline male/female summary.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,male_contrasts,All-sex baseline domain contrasts.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,sex_interaction_summary,All-sex LFO severity-by-sex interaction summary.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,sex_interaction_terms,Interaction model terms.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,sex_interaction_review,Women-only rationale and sex-interaction review table.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_design_review,Survey-design limitations and interpretation review.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,reviewer_risk_summary,Reviewer-risk response summary for unresolved guardrails.
