workbook,sheet_name,present,description
additional_file_1_harmonization_and_cohort_construction.xlsx,README,1,Workbook index and provenance notes.
additional_file_1_harmonization_and_cohort_construction.xlsx,item_crosswalk,1,Item-level harmonization crosswalk for the four burden domains.
additional_file_1_harmonization_and_cohort_construction.xlsx,cohort_tier_lock,1,"Cohort denominator, evidence-tier and validation-role lock."
additional_file_1_harmonization_and_cohort_construction.xlsx,harmonization_risk_matrix,1,Cohort-domain measurement-risk matrix used for Figure 4.
additional_file_1_harmonization_and_cohort_construction.xlsx,baseline_covariates,1,"Baseline clinical, design and covariate availability metadata."
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,README,1,Workbook index and provenance notes.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_stability_summary,1,Original selected-model bootstrap and covariance stability summary.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_covariance,1,Component-level covariance diagnostics for selected full-covariance GMMs.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,class_dictionary,1,Selected descriptive profile class dictionary by cohort.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,profile_summary,1,Profile-family descriptive summary and support tiers.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,profile_guardrails,1,Manuscript-facing profile-stability guardrail table.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,algorithm_robustness,1,"Agreement against diagonal/tied GMM, k-means, sampled hierarchical clustering and continuous-severity tertiles."
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,sensitivity_profiles,1,Sensitivity-cohort profile support kept outside the strict-core main claim.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_bootstrap_ext,1,Phase47 200-refit nonparametric bootstrap robustness summary.
additional_file_2_profile_stability_and_descriptive_profiles.xlsx,gmm_replicates_ext,1,Phase47 200-refit replicate-level bootstrap stability table.
additional_file_3_lfo_functional_change_associations.xlsx,README,1,Workbook index and provenance notes.
additional_file_3_lfo_functional_change_associations.xlsx,decoupled_comparison,1,LFO profile versus continuous-score comparison outputs.
additional_file_3_lfo_functional_change_associations.xlsx,leakage_audit,1,Functional-endpoint leakage and denominator audit.
additional_file_3_lfo_functional_change_associations.xlsx,strict_core_lfo,1,Strict-core LFO functional-change association rows used in Table 3.
additional_file_3_lfo_functional_change_associations.xlsx,lfo_sensitivity,1,SHARE/KLoSA sensitivity rows removed from the main table.
additional_file_3_lfo_functional_change_associations.xlsx,class_risks,1,Class-level functional-change risks and risk differences.
additional_file_3_lfo_functional_change_associations.xlsx,auc_bootstrap,1,Bootstrap intervals for profile-versus-continuous AUC comparisons.
additional_file_3_lfo_functional_change_associations.xlsx,heterogeneity,1,Strict-core LFO adjusted-risk-ratio heterogeneity summary.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,README,1,Workbook index and provenance notes.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,mortality_guardrail,1,Earlier mortality follow-up availability and guardrail table.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,mortality_formal,1,Formal secondary all-cause mortality Cox guardrail models.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,hospitalization_models,1,Header-only hospitalization candidate model comparison where available.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,hospitalization_status,1,Hospitalization candidate endpoint availability by cohort.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,calibration,1,Apparent in-sample calibration metrics.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,decision_curve,1,Apparent in-sample decision-curve summary.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,prediction_guardrails,1,Secondary endpoint and prediction guardrail summary.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,heterogeneity,1,Mortality highest-class HR heterogeneity summary.
additional_file_4_secondary_endpoints_and_prediction_guardrails.xlsx,endpoint_feasibility,1,"Phase47 hard-endpoint feasibility matrix across mortality, hospitalization, institutionalization and care-dependence."
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,README,1,Workbook index and provenance notes.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_variable_audit,1,Cleaned-file survey-design variable audit.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_raw_codebook,1,Raw/codebook/dofile survey-design evidence scan.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_triplet_status,1,Cohort-level weight/PSU/strata triplet status and analysis decision.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,male_summary,1,All-sex baseline male-comparator domain summary.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,male_contrasts,1,Women-versus-men baseline domain contrasts.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,sex_interaction_summary,1,All-sex LFO severity-by-sex interaction model summary.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,sex_interaction_terms,1,All-sex LFO severity-by-sex interaction model terms.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,sex_interaction_review,1,Phase47 reviewer-facing women-only rationale and sex-interaction summary.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,survey_design_review,1,Phase47 reviewer-facing survey-design availability summary.
additional_file_5_survey_design_and_sex_comparator_audits.xlsx,reviewer_risk_summary,1,Phase47 consolidated reviewer-risk guardrail summary.
