analysis_set,analysis_tier,cohort,outcome,outcome_label,outcome_priority,matched_domain,model_type,model_description,main_comparator,rhs,n,events,event_pct,aic,bic_llf,auc,converged
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",3834,1144,29.84,4623.008,4648.015,0.5748,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",5691,1766,31.03,6706.585,6733.171,0.649,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",5153,1316,25.54,5107.394,5133.583,0.7468,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",9431,3546,37.6,11422.677,11451.284,0.7012,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",5443,1437,26.4,5995.294,6021.702,0.6627,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_tertile,Age + severity tertile,1,"C(severity_tertile, Treatment(reference='low')) + age",12205,1525,12.49,7692.058,7721.696,0.7837,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_score,Age + continuous mean severity score,1,severity_score + age,3834,1144,29.84,4580.093,4598.848,0.5969,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_score,Age + continuous mean severity score,1,severity_score + age,5691,1766,31.03,6779.579,6799.519,0.6354,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_score,Age + continuous mean severity score,1,severity_score + age,5153,1316,25.54,5148.367,5168.009,0.742,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_score,Age + continuous mean severity score,1,severity_score + age,9431,3546,37.6,11476.543,11497.998,0.7015,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_score,Age + continuous mean severity score,1,severity_score + age,5443,1437,26.4,6010.301,6030.107,0.666,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,severity_score,Age + continuous mean severity score,1,severity_score + age,12205,1525,12.49,6907.775,6930.004,0.8248,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,matched_domain_score,Age + outcome-matched baseline domain score,1,functional_score + age,3834,1144,29.84,4094.248,4113.003,0.737,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,matched_domain_score,Age + outcome-matched baseline domain score,1,functional_score + age,5691,1766,31.03,6676.153,6696.093,0.6509,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,matched_domain_score,Age + outcome-matched baseline domain score,1,functional_score + age,5153,1316,25.54,5178.797,5198.439,0.7323,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,matched_domain_score,Age + outcome-matched baseline domain score,1,functional_score + age,9431,3546,37.6,11624.274,11645.729,0.6797,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,matched_domain_score,Age + outcome-matched baseline domain score,1,functional_score + age,5443,1437,26.4,6021.128,6040.935,0.6543,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,matched_domain_score,Age + outcome-matched baseline domain score,1,functional_score + age,12205,1525,12.49,4963.76,4985.989,0.971,1
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,3834,1144,29.84,4049.411,4086.921,0.7494,1
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,5691,1766,31.03,6418.892,6458.772,0.7012,1
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,5153,1316,25.54,5061.558,5100.842,0.7543,1
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,9431,3546,37.6,11341.104,11384.015,0.7071,1
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,5443,1437,26.4,5910.044,5949.657,0.6783,1
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,primary,functional_score,four_domain_scores,Age + all four baseline domain scores,1,functional_score + cognitive_score + affective_score + cardiometabolic_chronic_score + age,12205,1525,12.49,4952.028,4996.486,0.9705,1
