reviewer_issue,phase37_action,status,manuscript_location
Clinical contribution overclaimed,Reframed manuscript as a harmonized descriptive burden-profile atlas with validation guardrails; removed stable endotype and prediction-superiority language.,implemented,"title, abstract, Background, Results, Discussion"
Women-only rationale too weak,Reframed as a scoped older-women descriptive analysis rather than a sex-difference claim; explicitly says male comparator and sex-interaction analyses were not performed.,partially implemented; male comparison requires new analysis,Background; Strengths and limitations
Seven-cohort harmonization not sufficient for common profile-family claim,"Primary evidence now limited to strict-core cohorts (CHARLS, ELSA, HRS, MHAS); SHARE, KLoSA and LASI moved to sensitivity/descriptive tiers.",implemented,Methods; Table 1; Table 2; Fig 1
GMM classes unstable and near-singular,GMM retained only as descriptive clustering; robustness and near-singular covariance are stated as guardrails rather than buried.,implemented for interpretation; more GMM bootstrap still needed for top-journal claim,Methods; Discussion; Additional file 17
Functional endpoint leakage,Leave-functional-domain-out validation promoted to the only validation table and figure; primary profiles are not claimed as validated prediction models.,implemented,Methods; Table 3; Fig 3
Lack of independent hard endpoint,Mortality outputs found but kept secondary: 2 cohorts had no major PH/piecewise flag and 4 cohorts had PH flags; hospitalization/institutionalization/care-dependence endpoints were not harmonized in current outputs.,data-limited; not forced into primary result,Results; Discussion; phase37_hard_outcome_and_weight_audit.csv
No survey weights/design handling,"No harmonized weight/PSU/strata output files found; candidate inventory hits=0, output files=0. Marked as not implemented until codebook/raw extraction.",blocked by current harmonized output set,Strengths and limitations; phase37_hard_outcome_and_weight_audit.csv
Complete-case selection bias,Included-vs-excluded age differences and domain missingness were moved into main Table 1 and Additional file 13.,implemented,Table 1; Results
ORs for common outcomes can overstate effects,Table 3 now leads with absolute-risk gradients and treats adjusted ORs as secondary within-cohort associations.,implemented,Table 3; Fig 3
AUC delta lacked uncertainty,Added cohort-specific bootstrap CI for delta AUC using 100 requested resamples per cohort; no prediction-superiority claim is made.,"implemented as guardrail uncertainty, not as formal model-validation study",Table 3; Additional file 18
