cohort,class_id,class,phase18_label_en_v0,phase18_marker,phase18_decision_v0,phase18_rationale,phase15_review_reason,phase14_stability_flag_count,phase14_flag_reasons,phase20_required_decision,default_conservative_option,approve_as_written,final_label_override,final_marker,reviewer_name,review_date,decision_notes
ELSA,ELSA_C5,5,functional-dominant high-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Phase 14 covariate sensitivity stability flag,1,significance_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"functional-dominant high-burden [keep caveat in table note, not in final class name]",,,,,,
HRS,HRS_C3,3,elevated-burden severity-aligned,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,material_log_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"elevated-burden severity-aligned [keep caveat in table note, not in final class name]",,,,,,
HRS,HRS_C4,4,affective-dominant elevated-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,material_log_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"affective-dominant elevated-burden [keep caveat in table note, not in final class name]",,,,,,
HRS,HRS_C5,5,functional-dominant high-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; Phase 14 covariate sensitivity stability flag,2,direction_change+significance_change+material_log_change; significance_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"functional-dominant high-burden [keep caveat in table note, not in final class name]",,,,,,
KLoSA,KLoSA_C2,2,cardiometabolic-dominant intermediate-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,1,direction_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"cardiometabolic-dominant intermediate-burden [keep caveat in table note, not in final class name]",,,,,,
SHARE,SHARE_C4,4,elevated-burden with spared functional,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,2,material_log_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"elevated-burden with spared functional [keep caveat in table note, not in final class name]",,,,,,
SHARE,SHARE_C5,5,functional/cognitive-dominant high-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,3,direction_change+significance_change+material_log_change; significance_change,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"functional/cognitive-dominant high-burden [keep caveat in table note, not in final class name]",,,,,,
LASI,LASI_C1,1,intermediate-burden with spared cardiometabolic,hold,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,Approve baseline-only display and exclude from outcome-validation claims.,intermediate-burden with spared cardiometabolic [baseline-profile only],,,,,,
LASI,LASI_C2,2,cardiometabolic-dominant intermediate-burden,hold,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,Approve baseline-only display and exclude from outcome-validation claims.,cardiometabolic-dominant intermediate-burden [baseline-profile only],,,,,,
LASI,LASI_C3,3,cardiometabolic-dominant elevated-burden,hold,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,Approve baseline-only display and exclude from outcome-validation claims.,cardiometabolic-dominant elevated-burden [baseline-profile only],,,,,,
CHARLS,CHARLS_C1,1,broad intermediate-burden profile,signoff,auto_renamed_conservative,Generic severity-aligned label replaced with domain-neutral burden-profile label.,generic severity-aligned label,0,,Approve conservative burden-profile label or replace with a domain-specific clinical label.,broad intermediate-burden profile,,,,,,
CHARLS,CHARLS_C2,2,broad elevated-burden profile,signoff,auto_renamed_conservative,Generic severity-aligned label replaced with domain-neutral burden-profile label.,generic severity-aligned label,0,,Approve conservative burden-profile label or replace with a domain-specific clinical label.,broad elevated-burden profile,,,,,,
ELSA,ELSA_C3,3,broad elevated-burden profile,signoff,auto_renamed_conservative,Generic severity-aligned label replaced with domain-neutral burden-profile label.,generic severity-aligned label,0,,Approve conservative burden-profile label or replace with a domain-specific clinical label.,broad elevated-burden profile,,,,,,
