cohort,domain,construct,variable,role,direction,harmonization_action,baseline_women50_rows,nonmissing,nonmissing_pct,sample_values,variable_label
CHARLS,functional,iadl_limitations,iadl,primary,higher_worse,Use as instrumental limitation count; standardize within cohort/wave.,6878,6818,99.13,0|3|2|1|4|5,IADL(5项有困难)
CHARLS,functional,frailty_or_performance,frailtya,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6878,4436,64.5,8.2589282989502|20.2008934020996|11.9419641494751|14.3973217010498|8.0357141494751|14.1741065979004|17.1875|1.67410707473755,虚弱指数
CHARLS,functional,frailty_or_performance,frailtyb,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6878,6832,99.33,9.79885101318359|24.7126426696777|15.8620691299438|19.7988510131836|10.5172414779663|19.4540233612061|19.9425277709961|4.94252872467041,虚弱指数b
CHARLS,functional,frailty_or_performance,gripsum,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6878,5410,78.66,23|28|30|22.5|29.5|30.5|15|17,优势手的最大测量值
CHARLS,functional,frailty_or_performance,gripcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6878,5579,81.11,1|0,是否愿意并且能够完成握力测试
CHARLS,functional,frailty_or_performance,walkcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6878,3094,44.98,1|0,是否完成步速测试
CHARLS,functional,frailty_or_performance,fall_down,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6878,6448,93.75,0|1,跌倒
CHARLS,cognitive,global_cognition,total_cognition,primary,higher_better,Reverse standardized score so higher harmonized domain score means worse cognition.,6878,5941,86.38,7|12.5|5.5|7.5|8.5|10|13.5|10.5,"认知能力(0~21分,越大越好)"
CHARLS,cognitive,memory_orientation,memory_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,5423,78.85,-0.964210629463196|1.10952210426331|-1.260458111763|-0.371715545654297|-0.0754680037498474|0.813274621963501|0.517027080059052|-1.55670571327209,认知/记忆z标准化(ref1)
CHARLS,cognitive,memory_orientation,orient_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,5848,85.02,-0.0389322079718113|-0.952600419521332|-1.86626863479614|0.87473601102829|-2.77993679046631,认知/定向z标准化(ref1)
CHARLS,cognitive,memory_orientation,tcog_z_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,6258,90.99,-0.729230344295502|0.2515027821064|-1.35534143447876|-0.474262118339539|-0.735393464565277|-0.36221781373024|-0.121672853827477|0.390296638011932,认知/总认知能力z标准化(ref1)
CHARLS,cognitive,memory_orientation,ser7,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,5215,75.82,2|4|3|1|5|0,认知/序列7
CHARLS,cognitive,memory_orientation,imrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,5507,80.07,3|6|2|0|4|5|7|1,认知/即时记忆
CHARLS,cognitive,memory_orientation,dlrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,5457,79.34,1|5|3|4|0|2|7|6,认知/延迟记忆
CHARLS,cognitive,memory_orientation,orient,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6878,5848,85.02,3|2|1|4|0,认知/日期
CHARLS,affective,depressive_symptoms,cesd10,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,6878,6384,92.82,6|11|9|14|4|7|16|10,"心理健康(30分,越大越差)"
CHARLS,affective,psychological_or_life_satisfaction,psyche,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,6878,6792,98.75,0|1,精神疾病
CHARLS,affective,psychological_or_life_satisfaction,satlifez,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,6878,5590,81.27,-0.075162868641941|-1.48074765957366|-2.88633245050538|1.33042192228978|2.7360067132215,生活满意度z评分
CHARLS,cardiometabolic_chronic,chronic_disease_indicators,hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6878,6792,98.75,0|1,高血压
CHARLS,cardiometabolic_chronic,chronic_disease_indicators,diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6878,6756,98.23,0|1,糖尿病
CHARLS,cardiometabolic_chronic,chronic_disease_indicators,hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6878,6787,98.68,0|1,心脏病
CHARLS,cardiometabolic_chronic,chronic_disease_indicators,stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6878,6812,99.04,0|1,中风
CHARLS,cardiometabolic_chronic,chronic_disease_indicators,dyslipe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6878,6690,97.27,1|0,血脂异常
CHARLS,cardiometabolic_chronic,chronic_disease_indicators,cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6878,6798,98.84,1|0,癌症
CHARLS,cardiometabolic_chronic,anthropometry_blood_pressure,bmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,6878,5466,79.47,19.886775970459|21.6966400146484|24.8491172790527|28.320779800415|27.1614074707031|24.5312480926514|21.6731338500977|22.9874267578125,BMI
CHARLS,cardiometabolic_chronic,anthropometry_blood_pressure,systo,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,6878,5499,79.95,99|125|126|150.5|147.5|155.5|124.5|194,第2/3次收缩压的均值
CHARLS,cardiometabolic_chronic,anthropometry_blood_pressure,diasto,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,6878,5499,79.95,66|69.5|71.5|68.5|67|84.5|83|74,第2/3次舒张压
ELSA,functional,adl_limitations,adltot6,primary,higher_worse,Use as functional limitation count; standardize within cohort/wave.,6292,6198,98.51,0|1|3|2|4|5|6,ADL总分
ELSA,functional,iadl_limitations,iadltot2_e,primary,higher_worse,Use as instrumental limitation count; standardize within cohort/wave.,6292,0,0.0,,IADL总分
ELSA,functional,frailty_or_performance,frailty,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6292,0,0.0,,衰弱指数
ELSA,functional,frailty_or_performance,gripsum,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6292,0,0.0,,优势手的最大测量值
ELSA,functional,frailty_or_performance,walkcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6292,3877,61.62,1|0,是否愿意并且能够完成步行速度测试
ELSA,functional,frailty_or_performance,fall,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,6292,3784,60.14,1|0,最近2年内是否跌倒过
ELSA,cognitive,memory_orientation,memory_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,0,0.0,,记忆的z标准化(ref基线)
ELSA,cognitive,memory_orientation,orient_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,0,0.0,,定向的z标准化(ref基线)
ELSA,cognitive,memory_orientation,tcog_z_z,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,0,0.0,,总体认知能力z标准化(ref基线)
ELSA,cognitive,memory_orientation,ser7,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,0,0.0,,认知/正确减法的个数5分
ELSA,cognitive,memory_orientation,imrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,6102,96.98,7|6|4|9|5|2|8|3,认知/即时单词记忆10分
ELSA,cognitive,memory_orientation,dlrc,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,6095,96.87,5|6|3|2|8|1|4|7,认知/延迟词回忆10分
ELSA,cognitive,memory_orientation,orient,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,6292,6135,97.5,4|3|2|1|0,认知/是否能够正确报告日期4分
ELSA,cognitive,dementia_indicator,dementia,supporting,higher_worse,Do not use as a direct substitute for continuous cognition in the primary class model.,6292,0,0.0,,是否痴呆
ELSA,cognitive,dementia_indicator,demene,supporting,higher_worse,Do not use as a direct substitute for continuous cognition in the primary class model.,6292,6286,99.9,0|1,医生是否告诉受访者患有痴呆症
ELSA,affective,depressive_symptoms,cesd,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,6292,6109,97.09,3|1|0|5|6|2|7|8,CESD-8分
ELSA,affective,depressive_symptoms,depressive,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,6292,0,0.0,,是否抑郁
ELSA,affective,psychological_or_life_satisfaction,psyche,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,6292,6286,99.9,0|1,医生是否诊断患有任何情绪、神经或精神问题
ELSA,affective,psychological_or_life_satisfaction,satlifez,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,6292,0,0.0,,生活满意度z评分
ELSA,cardiometabolic_chronic,chronic_disease_indicators,hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6292,6287,99.92,1|0,医生是否诊断患有高血压
ELSA,cardiometabolic_chronic,chronic_disease_indicators,diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6292,6287,99.92,0|1,医生是否诊断患有糖尿病
ELSA,cardiometabolic_chronic,chronic_disease_indicators,hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6292,6287,99.92,1|0,医生是否诊断患有心脏问题
ELSA,cardiometabolic_chronic,chronic_disease_indicators,stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6292,6287,99.92,0|1,医生是否诊断患有中风
ELSA,cardiometabolic_chronic,chronic_disease_indicators,hchole,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6292,0,0.0,,医生是否诊断患有高胆固醇
ELSA,cardiometabolic_chronic,chronic_disease_indicators,cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,6292,6286,99.9,1|0,医生是否诊断患有癌症或恶性肿瘤
ELSA,cardiometabolic_chronic,anthropometry_blood_pressure,mbmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,6292,0,0.0,,BMI
ELSA,cardiometabolic_chronic,anthropometry_blood_pressure,systo,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,6292,0,0.0,,收缩压读数的平均值
ELSA,cardiometabolic_chronic,anthropometry_blood_pressure,diasto,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,6292,0,0.0,,舒张压读数的平均值
HRS,functional,adl_limitations,adl6a,primary,higher_worse,Use as functional limitation count; standardize within cohort/wave.,11005,10989,99.85,0|4|3|2|1|5|6,ADL总分(6分)
HRS,functional,frailty_or_performance,frailty,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,11005,11005,100.0,29.6839084625244|15|0.833333313465118|1.66666662693024|10.8333330154419|13.3333330154419|48.3333320617676|10.8045978546143,衰弱指数
HRS,functional,frailty_or_performance,gripcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,11005,0,0.0,,是否愿意并能够完成握力测试
HRS,functional,frailty_or_performance,walkcomp,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,11005,0,0.0,,是否愿意并且能够完成步行速度测试
HRS,functional,frailty_or_performance,fall,supporting,mixed_check_labels,Use for sensitivity or performance-anchored functional score after label/range checks.,11005,6172,56.08,0|1,过去2年中是否跌倒过
