cohort,tier_display,class_id,class_n,class_pct,label_en,clinical_family,dominant_clinical_signal,clinical_interpretation,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,death_pct,mortality_hr_formatted,mortality_drift_flag
CHARLS,strict,CHARLS_C1,4419,73.42,intermediate-burden severity-aligned,Mixed multidomain,Mixed,No single domain fully explains the class; clinical interpretation should use the full four-domain profile.,-0.52,-0.15,-0.2,-0.06,32.71,1.00 (1.00-1.00),8.94,1.00 (1.00-1.00),0
CHARLS,strict,CHARLS_C2,687,11.41,elevated-burden severity-aligned,Mixed multidomain,Mixed,No single domain fully explains the class; clinical interpretation should use the full four-domain profile.,0.27,0.3,0.22,0.09,29.88,0.77 (0.64-0.92),13.31,1.23 (0.97-1.54),0
CHARLS,strict,CHARLS_C3,913,15.17,functional-dominant high-burden,Functional-limitation dominant,Functional,ADL/IADL or mobility limitation is the leading signal; primary clinical reading is disability-risk stratification.,1.84,0.59,0.7,0.24,23.43,0.45 (0.37-0.54),25.7,1.84 (1.55-2.18),0
ELSA,strict,ELSA_C1,2604,42.66,intermediate-burden with spared cardiometabolic,Lower-burden / preserved-capacity,No single dominant domain,"Clinically closest to a lower-burden reference group; use as within-cohort comparator, not as a disease-free group.",-0.42,-0.2,-0.2,-0.84,18.54,1.00 (1.00-1.00),2.89,1.00 (1.00-1.00),0
ELSA,strict,ELSA_C2,1668,27.33,cardiometabolic-dominant intermediate-burden,Mixed multidomain,Mixed,No single domain fully explains the class; clinical interpretation should use the full four-domain profile.,-0.42,-0.06,-0.14,0.38,25.93,1.18 (1.00-1.40),5.97,1.47 (1.06-2.03),0
ELSA,strict,ELSA_C3,624,10.22,elevated-burden severity-aligned,Functional-limitation dominant,Functional,ADL/IADL or mobility limitation is the leading signal; primary clinical reading is disability-risk stratification.,0.57,0.3,0.31,0.3,37.5,1.48 (1.17-1.86),11.72,2.10 (1.47-3.01),0
ELSA,strict,ELSA_C4,549,8.99,cardiometabolic-dominant elevated-burden,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,-0.42,0.2,0.03,1.83,43.89,2.12 (1.68-2.67),12.91,2.53 (1.77-3.62),0
ELSA,strict,ELSA_C5,659,10.8,functional-dominant high-burden,Functional-limitation dominant,Functional,ADL/IADL or mobility limitation is the leading signal; primary clinical reading is disability-risk stratification.,2.48,0.39,0.82,0.48,28.1,0.94 (0.74-1.19),15.05,3.01 (2.16-4.20),0
HRS,strict,HRS_C1,3596,35.25,low-burden with spared cardiometabolic,Lower-burden / preserved-capacity,No single dominant domain,"Clinically closest to a lower-burden reference group; use as within-cohort comparator, not as a disease-free group.",-0.41,-0.3,-0.27,-0.99,26.56,1.00 (1.00-1.00),36.64,1.00 (1.00-1.00),0
HRS,strict,HRS_C2,4428,43.4,cardiometabolic-dominant intermediate-burden,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,-0.41,-0.01,-0.21,0.51,42.76,1.67 (1.51-1.85),61.53,1.64 (1.54-1.76),0
HRS,strict,HRS_C3,870,8.53,elevated-burden severity-aligned,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,0.4,0.39,0.35,0.46,49.67,1.92 (1.62-2.27),73.92,2.22 (2.02-2.45),1
HRS,strict,HRS_C4,659,6.46,affective-dominant elevated-burden,Neuropsychological dominant,Cognitive/affective,Cognitive performance or depressive-symptom burden dominates; interpret as neuropsychological vulnerability rather than pure physical frailty.,0.77,0.49,1.5,0.01,45.9,1.85 (1.53-2.23),68.1,2.14 (1.92-2.38),1
HRS,strict,HRS_C5,649,6.36,functional-dominant high-burden,Functional-limitation dominant,Functional,ADL/IADL or mobility limitation is the leading signal; primary clinical reading is disability-risk stratification.,2.12,0.65,0.93,0.86,42.62,1.42 (1.16-1.72),79.75,2.88 (2.59-3.19),1
KLoSA,bridge,KLoSA_C1,1986,48.66,intermediate-burden with spared cardiometabolic,Lower-burden / preserved-capacity,No single dominant domain,"Clinically closest to a lower-burden reference group; use as within-cohort comparator, not as a disease-free group.",-0.19,-0.18,-0.18,-0.86,27.01,1.00 (1.00-1.00),12.68,1.00 (1.00-1.00),0
KLoSA,bridge,KLoSA_C2,1428,34.99,cardiometabolic-dominant intermediate-burden,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,-0.3,-0.21,-0.15,0.58,35.69,1.39 (1.19-1.62),15.79,0.96 (0.80-1.15),1
KLoSA,bridge,KLoSA_C3,667,16.34,functional/cardiometabolic-dominant high-burden,Global high-burden,Multiple domains,"Concurrent functional, cognitive, affective and cardiometabolic burden; clinically resembles broad frailty or multidomain vulnerability.",1.12,0.96,0.72,1.25,25.21,0.73 (0.59-0.92),39.72,1.32 (1.10-1.58),0
LASI,strict,LASI_C1,15915,58.01,intermediate-burden with spared cardiometabolic,Mixed multidomain,Mixed,No single domain fully explains the class; clinical interpretation should use the full four-domain profile.,-0.1,0.09,-0.02,-0.73,,1.00 (1.00-1.00),,,0
LASI,strict,LASI_C2,5641,20.56,cardiometabolic-dominant intermediate-burden,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,-0.61,-0.38,-0.13,0.95,,,,,0
LASI,strict,LASI_C3,5877,21.42,cardiometabolic-dominant elevated-burden,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,0.72,0.13,0.17,1.04,,,,,0
MHAS,strict,MHAS_C1,2719,40.38,intermediate-burden with spared cardiometabolic,Lower-burden / preserved-capacity,No single dominant domain,"Clinically closest to a lower-burden reference group; use as within-cohort comparator, not as a disease-free group.",-0.32,-0.1,-0.26,-0.96,19.88,1.00 (1.00-1.00),23.67,1.00 (1.00-1.00),0
MHAS,strict,MHAS_C2,2267,33.67,cardiometabolic-dominant intermediate-burden,Mixed multidomain,Mixed,No single domain fully explains the class; clinical interpretation should use the full four-domain profile.,-0.32,-0.06,-0.02,0.42,28.85,1.60 (1.38-1.85),32.02,1.36 (1.22-1.52),0
MHAS,strict,MHAS_C3,760,11.29,cardiometabolic-dominant elevated-burden,Cardiometabolic dominant,Cardiometabolic,Chronic cardiometabolic burden dominates; interpret together with functional reserve and competing mortality risk.,-0.02,0.07,0.29,1.8,37.14,2.18 (1.79-2.67),50.55,2.41 (2.12-2.75),0
MHAS,strict,MHAS_C4,467,6.94,functional-dominant elevated-burden,Functional-limitation dominant,Functional,ADL/IADL or mobility limitation is the leading signal; primary clinical reading is disability-risk stratification.,1.82,0.37,0.51,-0.0,29.3,1.21 (0.92-1.60),58.81,2.13 (1.84-2.47),0
MHAS,strict,MHAS_C5,520,7.72,functional-dominant elevated-burden,Functional-limitation dominant,Functional,ADL/IADL or mobility limitation is the leading signal; primary clinical reading is disability-risk stratification.,1.54,0.28,0.62,0.42,34.03,1.49 (1.16-1.90),55.51,1.95 (1.69-2.26),0
SHARE,strict,SHARE_C1,6678,42.48,intermediate-burden with spared cardiometabolic,Lower-burden / preserved-capacity,No single dominant domain,"Clinically closest to a lower-burden reference group; use as within-cohort comparator, not as a disease-free group.",-0.32,-0.26,-0.25,-0.87,4.1,1.00 (1.00-1.00),13.87,1.00 (1.00-1.00),0
