cohort,class_id,class,phase18_label_en_v0,phase18_marker,phase18_decision_v0,phase18_rationale,phase20_required_decision,default_conservative_option,proposed_decision,proposed_final_label,proposed_final_marker,author_confirmation_required,phase22_status,phase22_note
ELSA,ELSA_C5,5,functional-dominant high-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"functional-dominant high-burden [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,functional-dominant high-burden,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
HRS,HRS_C3,3,elevated-burden severity-aligned,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"elevated-burden severity-aligned [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,elevated-burden severity-aligned,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
HRS,HRS_C4,4,affective-dominant elevated-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"affective-dominant elevated-burden [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,affective-dominant elevated-burden,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
HRS,HRS_C5,5,functional-dominant high-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"functional-dominant high-burden [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,functional-dominant high-burden,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
KLoSA,KLoSA_C2,2,cardiometabolic-dominant intermediate-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"cardiometabolic-dominant intermediate-burden [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,cardiometabolic-dominant intermediate-burden,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
SHARE,SHARE_C4,4,elevated-burden with spared functional,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"elevated-burden with spared functional [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,elevated-burden with spared functional,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
SHARE,SHARE_C5,5,functional/cognitive-dominant high-burden,caveat,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Approve label with explicit sensitivity caveat; do not convert mortality signal into the class name.,"functional/cognitive-dominant high-burden [keep caveat in table note, not in final class name]",approve_as_written_conservative_default,functional/cognitive-dominant high-burden,caveat,1,proposal_only_not_human_signoff,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.
LASI,LASI_C1,1,intermediate-burden with spared cardiometabolic,hold,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.,Approve baseline-only display and exclude from outcome-validation claims.,intermediate-burden with spared cardiometabolic [baseline-profile only],approve_as_written_conservative_default,intermediate-burden with spared cardiometabolic,hold,1,proposal_only_not_human_signoff,Baseline-profile only; excluded from follow-up outcome-validation claims in the current cleaned CSV pass.
LASI,LASI_C2,2,cardiometabolic-dominant intermediate-burden,hold,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.,Approve baseline-only display and exclude from outcome-validation claims.,cardiometabolic-dominant intermediate-burden [baseline-profile only],approve_as_written_conservative_default,cardiometabolic-dominant intermediate-burden,hold,1,proposal_only_not_human_signoff,Baseline-profile only; excluded from follow-up outcome-validation claims in the current cleaned CSV pass.
LASI,LASI_C3,3,cardiometabolic-dominant elevated-burden,hold,baseline_only_hold,LASI lacks follow-up validation in the current cleaned CSV pass.,Approve baseline-only display and exclude from outcome-validation claims.,cardiometabolic-dominant elevated-burden [baseline-profile only],approve_as_written_conservative_default,cardiometabolic-dominant elevated-burden,hold,1,proposal_only_not_human_signoff,Baseline-profile only; excluded from follow-up outcome-validation claims in the current cleaned CSV pass.
