cohort,class_id,class,phase18_label_en_v0,phase18_decision_v0,phase18_marker,human_signoff_required,phase18_rationale,phase15_review_reason,phase14_stability_flag_count,phase14_flag_reasons,recommended_signoff_action,signoff_decision,reviewer,review_date,notes
CHARLS,CHARLS_C1,1,broad intermediate-burden profile,auto_renamed_conservative,signoff,1,Generic severity-aligned label replaced with domain-neutral burden-profile label.,generic severity-aligned label,0,,Approve conservative label or replace with reviewer-preferred domain wording.,,,,
CHARLS,CHARLS_C2,2,broad elevated-burden profile,auto_renamed_conservative,signoff,1,Generic severity-aligned label replaced with domain-neutral burden-profile label.,generic severity-aligned label,0,,Approve conservative label or replace with reviewer-preferred domain wording.,,,,
ELSA,ELSA_C3,3,broad elevated-burden profile,auto_renamed_conservative,signoff,1,Generic severity-aligned label replaced with domain-neutral burden-profile label.,generic severity-aligned label,0,,Approve conservative label or replace with reviewer-preferred domain wording.,,,,
ELSA,ELSA_C5,5,functional-dominant high-burden,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,Phase 14 covariate sensitivity stability flag,1,significance_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
HRS,HRS_C3,3,elevated-burden severity-aligned,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,material_log_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
HRS,HRS_C4,4,affective-dominant elevated-burden,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,material_log_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
HRS,HRS_C5,5,functional-dominant high-burden,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; Phase 14 covariate sensitivity stability flag,2,direction_change+significance_change+material_log_change; significance_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
KLoSA,KLoSA_C2,2,cardiometabolic-dominant intermediate-burden,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,mortality HR drift; bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,1,direction_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
LASI,LASI_C1,1,intermediate-burden with spared cardiometabolic,baseline_only_hold,hold,1,LASI lacks follow-up validation in the current cleaned CSV pass.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,Confirm baseline-only display and exclude from follow-up validation claims.,,,,
LASI,LASI_C2,2,cardiometabolic-dominant intermediate-burden,baseline_only_hold,hold,1,LASI lacks follow-up validation in the current cleaned CSV pass.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,Confirm baseline-only display and exclude from follow-up validation claims.,,,,
LASI,LASI_C3,3,cardiometabolic-dominant elevated-burden,baseline_only_hold,hold,1,LASI lacks follow-up validation in the current cleaned CSV pass.,baseline profile only in current CSV pass; Baseline-profile only until follow-up validation is available,0,,Confirm baseline-only display and exclude from follow-up validation claims.,,,,
SHARE,SHARE_C4,4,elevated-burden with spared functional,locked_with_caveat_auto_v0,caveat,1,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.,bridge sensitivity cohort; Phase 14 covariate sensitivity stability flag; Bridge-sensitivity cohort display needs explicit footnote,2,material_log_change,Approve caveat wording and confirm the label is not interpreted as a mortality-driven phenotype.,,,,
