analysis_set,analysis_tier,cohort,class_id,class,class_pct,label_en_current,label_zh_current,label_confidence,suggested_label_status,manual_review_reason,profile_label,severity_mean,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_or_formatted,mortality_hr_formatted,mortality_drift_flag
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C1,1,73.42,intermediate-burden severity-aligned,中等负担严重度一致型,low,review_generic_label,generic severity-aligned label,intermediate_severity_aligned,-0.23,-0.52,-0.15,-0.2,-0.06,1.00 (1.00-1.00),1.00 (1.00-1.00),0
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C2,2,11.41,elevated-burden severity-aligned,较高负担严重度一致型,low,review_generic_label,generic severity-aligned label,intermediate_severity_aligned,0.22,0.27,0.3,0.22,0.09,0.77 (0.64-0.92),1.23 (0.97-1.54),0
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C3,3,15.17,functional-dominant high-burden,功能主导型高负担,high,ready_for_manual_lock,,high_burden_high_functional_spared_cardiometabolic_chronic,0.84,1.84,0.59,0.7,0.24,0.45 (0.37-0.54),1.84 (1.55-2.18),0
strict_earliest_primary,strict_primary,ELSA,ELSA_C1,1,42.66,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,ready_for_manual_lock,,intermediate_spared_cardiometabolic_chronic,-0.41,-0.42,-0.2,-0.2,-0.84,1.00 (1.00-1.00),1.00 (1.00-1.00),0
strict_earliest_primary,strict_primary,ELSA,ELSA_C2,2,27.33,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,ready_for_manual_lock,,intermediate_high_cardiometabolic_chronic_spared_functional,-0.06,-0.42,-0.06,-0.14,0.38,1.18 (1.00-1.40),1.47 (1.06-2.03),0
strict_earliest_primary,strict_primary,ELSA,ELSA_C3,3,10.22,elevated-burden severity-aligned,较高负担严重度一致型,low,review_generic_label,generic severity-aligned label,intermediate_severity_aligned,0.37,0.57,0.3,0.31,0.3,1.48 (1.17-1.86),2.10 (1.47-3.01),0
strict_earliest_primary,strict_primary,ELSA,ELSA_C4,4,8.99,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,ready_for_manual_lock,,intermediate_high_cardiometabolic_chronic_spared_functional_affective,0.41,-0.42,0.2,0.03,1.83,2.12 (1.68-2.67),2.53 (1.77-3.62),0
strict_earliest_primary,strict_primary,ELSA,ELSA_C5,5,10.8,functional-dominant high-burden,功能主导型高负担,high,ready_for_manual_lock,,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,1.04,2.48,0.39,0.82,0.48,0.94 (0.74-1.19),3.01 (2.16-4.20),0
strict_earliest_primary,strict_primary,HRS,HRS_C1,1,35.25,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,moderate,ready_for_manual_lock,,intermediate_spared_cardiometabolic_chronic,-0.49,-0.41,-0.3,-0.27,-0.99,1.00 (1.00-1.00),1.00 (1.00-1.00),0
strict_earliest_primary,strict_primary,HRS,HRS_C2,2,43.4,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,ready_for_manual_lock,,intermediate_high_cardiometabolic_chronic_spared_functional,-0.03,-0.41,-0.01,-0.21,0.51,1.67 (1.51-1.85),1.64 (1.54-1.76),0
strict_earliest_primary,strict_primary,HRS,HRS_C3,3,8.53,elevated-burden severity-aligned,较高负担严重度一致型,provisional,requires_manual_review,mortality HR drift,intermediate_severity_aligned,0.4,0.4,0.39,0.35,0.46,1.92 (1.62-2.27),2.22 (2.02-2.45),1
strict_earliest_primary,strict_primary,HRS,HRS_C4,4,6.46,affective-dominant elevated-burden,心理/抑郁主导型较高负担,provisional,requires_manual_review,mortality HR drift,high_burden_high_affective_spared_cardiometabolic_chronic,0.69,0.77,0.49,1.5,0.01,1.85 (1.53-2.23),2.14 (1.92-2.38),1
strict_earliest_primary,strict_primary,HRS,HRS_C5,5,6.36,functional-dominant high-burden,功能主导型高负担,provisional,requires_manual_review,mortality HR drift,high_burden_high_functional_spared_cognitive,1.14,2.12,0.65,0.93,0.86,1.42 (1.16-1.72),2.88 (2.59-3.19),1
strict_earliest_primary,strict_primary,LASI,LASI_C1,1,58.01,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,baseline_only_candidate,baseline profile only in current CSV pass,intermediate_spared_cardiometabolic_chronic,-0.19,-0.1,0.09,-0.02,-0.73,1.00 (1.00-1.00),,0
strict_earliest_primary,strict_primary,LASI,LASI_C2,2,20.56,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,baseline_only_candidate,baseline profile only in current CSV pass,intermediate_high_cardiometabolic_chronic_spared_functional,-0.04,-0.61,-0.38,-0.13,0.95,,,0
strict_earliest_primary,strict_primary,LASI,LASI_C3,3,21.42,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,baseline_only_candidate,baseline profile only in current CSV pass,high_burden_high_cardiometabolic_chronic_spared_cognitive,0.51,0.72,0.13,0.17,1.04,,,0
strict_earliest_primary,strict_primary,MHAS,MHAS_C1,1,40.38,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,moderate,ready_for_manual_lock,,intermediate_spared_cardiometabolic_chronic,-0.41,-0.32,-0.1,-0.26,-0.96,1.00 (1.00-1.00),1.00 (1.00-1.00),0
strict_earliest_primary,strict_primary,MHAS,MHAS_C2,2,33.67,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,high,ready_for_manual_lock,,intermediate_high_cardiometabolic_chronic,0.0,-0.32,-0.06,-0.02,0.42,1.60 (1.38-1.85),1.36 (1.22-1.52),0
strict_earliest_primary,strict_primary,MHAS,MHAS_C3,3,11.29,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,high,ready_for_manual_lock,,high_burden_high_cardiometabolic_chronic_spared_functional_cognitive,0.54,-0.02,0.07,0.29,1.8,2.18 (1.79-2.67),2.41 (2.12-2.75),0
strict_earliest_primary,strict_primary,MHAS,MHAS_C4,4,6.94,functional-dominant elevated-burden,功能主导型较高负担,moderate,ready_for_manual_lock,,high_burden_high_functional_spared_cardiometabolic_chronic,0.68,1.82,0.37,0.51,-0.0,1.21 (0.92-1.60),2.13 (1.84-2.47),0
strict_earliest_primary,strict_primary,MHAS,MHAS_C5,5,7.72,functional-dominant elevated-burden,功能主导型较高负担,moderate,ready_for_manual_lock,,high_burden_high_functional_spared_cognitive,0.72,1.54,0.28,0.62,0.42,1.49 (1.16-1.90),1.95 (1.69-2.26),0
