Panel	Option	Panel role	Variant budget	Candidate ID	Candidate level	Candidate maturity	HF capsule ID	PERSIST source ID	Generic template path	Native workflow	Candidate source	Candidate kind	PERSIST atlas major class	PERSIST atlas subtype	Data fit gate	Data fit notes	Visual fit gate	Visual fit notes	Task fit score	Data fit score	Visual grammar score	Source-code readiness score	Readability score	Total score	Render decision	Runtime	Env	Capsule path	Reference visual	Source script	Source code snapshot	Why it fits	Risk	Candidate title	Candidate family	Candidate technique
Fig1A	Fig1A.1	main_standard	top 2-3 variants	generic_portable_template:composition/percent_stacked_bar_template.py	generic_portable_template	production_ready			/mnt/e/Python/PERSIST/_portable_patterns/patterns/composition/percent_stacked_bar_template.py		TEMPLATE_CATALOG	portable_template	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	15	10	100	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/composition/percent_stacked_bar_template.py		百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	百分比堆叠图	组成与比例展示	百分比堆叠图
Fig1A	Fig1A.2	main_standard	top 2-3 variants	HF122_2025-12-01_893fbc2e	hf_capsule	needs_porting	HF122_2025-12-01_893fbc2e				FOLDER_HIGH_FIDELITY_CATALOG	high_fidelity_capsule	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	18	10	10	93	render_recommended	Python / PERSIST matplotlib	research-py312	E:\Python\PERSIST\_portable_patterns\high_fidelity_by_folder\capsules\HF122_2025-12-01_893fbc2e	E:\Python\PERSIST\2025年12月1日 Python绘制横轴百分比堆叠图\chart_1.png	E:\Python\PERSIST\2025年12月1日 Python绘制横轴百分比堆叠图\1201-横向堆叠条形图.py		2025年12月1日 Python绘制横轴百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年12月1日 Python绘制横轴百分比堆叠图	组成比例/堆叠/饼图	Times 字体、粗线框、强排版;成套配色/渐变/色标;组成比例/堆叠/饼图;3D 图形
Fig1A	Fig1A.3	main_standard	top 2-3 variants	mapping:0058:composition/percent_stacked_bar_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/composition/percent_stacked_bar_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	20	5	10	90	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年12月1日 Python绘制横轴百分比堆叠图\1201-横向堆叠条形图.py		2025年12月1日 Python绘制横轴百分比堆叠图\1201-横向堆叠条形图.py -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年12月1日 Python绘制横轴百分比堆叠图\1201-横向堆叠条形图.py	组成与比例展示	composition/percent_stacked_bar_template.py
Fig1A	Fig1A.4	main_standard	top 2-3 variants	mapping:0174:composition/percent_stacked_bar_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/composition/percent_stacked_bar_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	17	5	10	87	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2026年02月16日 Python绘制堆叠面积图展示数据分布\20260215-堆叠面积图.py		2026年02月16日 Python绘制堆叠面积图展示数据分布\20260215-堆叠面积图.py -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年02月16日 Python绘制堆叠面积图展示数据分布\20260215-堆叠面积图.py	组成与比例展示	composition/percent_stacked_bar_template.py
Fig1A	Fig1A.5	main_standard	top 2-3 variants	PERSIST-0973	persist_indexed_code	needs_porting		PERSIST-0973			PERSIST_plot_code_index	indexed_source_code	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	17	5	10	87	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/composition/percent_stacked_bar_template.py		composition -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	composition	未细分/待人工复核	
Fig1A	Fig1A.6	main_standard	top 2-3 variants	PERSIST-0059	persist_indexed_code	needs_porting		PERSIST-0059			PERSIST_plot_code_index	indexed_source_code	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	21	25	16	5	10	77	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2025年12月1日 Python绘制横轴百分比堆叠图/1201-横向堆叠条形图.py		2025年12月1日 Python绘制横轴百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年12月1日 Python绘制横轴百分比堆叠图	组成与比例展示	组成与比例展示; 基础发表级图形
Fig1A	Fig1A.7	main_standard	top 2-3 variants	atlas:122:2025年12月1日 Python绘制横轴百分比堆叠图	hf_capsule	needs_porting					PERSIST_atlas_index	atlas_reference	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	21	25	16	5	10	77	render_recommended	Python / PERSIST matplotlib	research-py312		/mnt/e/Python/PERSIST/2025年12月1日 Python绘制横轴百分比堆叠图/chart_1.png			百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	百分比堆叠图	atlas_reference	百分比堆叠图
Fig1A	Fig1A.8	main_standard	top 2-3 variants	HF115_2025-11-19_c62ff61d	hf_capsule	needs_porting	HF115_2025-11-19_c62ff61d				FOLDER_HIGH_FIDELITY_CATALOG	high_fidelity_capsule	Composition and proportion	Percent stacked/progress bar; denominator flow	pass	Original project table exists; mapping required but no simulated data needed.	conditional_pass	Needs porting/readability check at panel size.	17	25	7	10	10	69	render_optional	Python / PERSIST matplotlib	research-py312	E:\Python\PERSIST\_portable_patterns\high_fidelity_by_folder\capsules\HF115_2025-11-19_c62ff61d	E:\Python\PERSIST\2025年11月19日 期刊图片复现Python绘制多组韦恩图\combined_17.png	E:\Python\PERSIST\2025年11月19日 期刊图片复现Python绘制多组韦恩图\1116-韦恩图组合图.py		2025年11月19日 期刊图片复现Python绘制多组韦恩图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2025年11月19日 期刊图片复现Python绘制多组韦恩图	组合Dashboard/多panel图	大画布、多 panel、内嵌图或标题带;内嵌子图/局部放大/嵌套坐标轴;Times 字体、粗线框、强排版;成套配色/渐变/色标;组成比例/堆叠/饼图;3D 图形
Fig2A	Fig2A.1	main_complex	top 2-3 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		TEMPLATE_CATALOG	portable_template	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	17	15	10	97	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		森林图 -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	森林图	组间差异与分布	森林图
Fig2A	Fig2A.2	main_complex	top 2-3 variants	mapping:0221:group_distribution/forest_plot_template.py	persist_indexed_code	needs_porting			/mnt/e/Python/PERSIST/_portable_patterns/patterns/group_distribution/forest_plot_template.py		SOURCE_TO_PATTERN_MAPPING	source_to_pattern_mapping	Group comparison and distribution	Forest/dot-interval uncertainty plot	pass	Original project table exists; mapping required but no simulated data needed.	pass	Visual grammar matches reader task.	30	25	17	5	10	87	render_recommended	Python / PERSIST matplotlib	research-py312			/mnt/e/Python/PERSIST/2026年05月16日 森林图\20260513-森林图.py		2026年05月16日 森林图\20260513-森林图.py -> Are the selected GMM partitions stable enough to interpret?	Need source-code-first port and exact data binding; reject if reference/source cannot be verified.	2026年05月16日 森林图\20260513-森林图.py	组间差异与分布	group_distribution/forest_plot_template.py
