file,bytes
README_BMC_Geriatrics_clinical_upgrade.md,846
additional_file_1_domain_harmonization_dictionary.csv,4002
additional_file_2_gmm_selection_table.csv,5231
additional_file_3_outcome_validation_metrics.csv,4540
additional_file_4_mortality_sensitivity_guardrails.csv,1064
additional_file_5_share_strict_functional_audit.csv,1823962
additional_file_6_outcome_model_specification.csv,1074
additional_file_7_clinical_endotype_dictionary.csv,8570
additional_file_8_table_figure_blueprint.csv,3198
bmc_geriatrics_cover_letter.md,125
bmc_geriatrics_main.pdf,1252327
bmc_geriatrics_main.tex,19790
bmc_geriatrics_refs.bib,3598
figure1_clinical_flow.pdf,27796
figure1_clinical_flow.png,209083
figure2_endotype_heatmap.pdf,36421
figure2_endotype_heatmap.png,580195
figure3_functional_validation.pdf,29742
figure3_functional_validation.png,414869
sn-jnl.cls,55857
sn-vancouver-num.bst,40758
