analysis_set,analysis_tier,cohort,class_id,class,class_n,class_pct,bmc_label,bmc_label_status,bmc_label_note,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,functional_deterioration_ge_0_5sd_event_pct,functional_or_formatted,chronic_progression_ge_1_condition_event_pct,chronic_or_formatted,death_pct,mortality_hr_formatted,mortality_drift_flag,phase18_decision_v0,phase18_rationale
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C1,1,4419,73.42,broad intermediate-burden profile,none,Conservative burden-profile rename proposed for approval; no signoff marker would be shown after author confirmation.,-0.52,-0.15,-0.2,-0.06,32.71,1.00 (1.00-1.00),47.93,1.00 (1.00-1.00),8.94,1.00 (1.00-1.00),0,auto_renamed_conservative,Generic severity-aligned label replaced with domain-neutral burden-profile label.
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C2,2,687,11.41,broad elevated-burden profile,none,Conservative burden-profile rename proposed for approval; no signoff marker would be shown after author confirmation.,0.27,0.3,0.22,0.09,29.88,0.77 (0.64-0.92),49.47,1.08 (0.92-1.28),13.31,1.23 (0.97-1.54),0,auto_renamed_conservative,Generic severity-aligned label replaced with domain-neutral burden-profile label.
strict_earliest_primary,strict_primary,CHARLS,CHARLS_C3,3,913,15.17,functional-dominant high-burden,none,,1.84,0.59,0.7,0.24,23.43,0.45 (0.37-0.54),49.76,1.12 (0.97-1.31),25.7,1.84 (1.55-2.18),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,ELSA,ELSA_C1,1,2604,42.66,intermediate-burden with spared cardiometabolic,none,,-0.42,-0.2,-0.2,-0.84,18.54,1.00 (1.00-1.00),61.38,1.00 (1.00-1.00),2.89,1.00 (1.00-1.00),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,ELSA,ELSA_C2,2,1668,27.33,cardiometabolic-dominant intermediate-burden,none,,-0.42,-0.06,-0.14,0.38,25.93,1.18 (1.00-1.40),64.21,1.18 (1.03-1.36),5.97,1.47 (1.06-2.03),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,ELSA,ELSA_C3,3,624,10.22,broad elevated-burden profile,none,Conservative burden-profile rename proposed for approval; no signoff marker would be shown after author confirmation.,0.57,0.3,0.31,0.3,37.5,1.48 (1.17-1.86),65.32,1.32 (1.07-1.63),11.72,2.10 (1.47-3.01),0,auto_renamed_conservative,Generic severity-aligned label replaced with domain-neutral burden-profile label.
strict_earliest_primary,strict_primary,ELSA,ELSA_C4,4,549,8.99,cardiometabolic-dominant elevated-burden,none,,-0.42,0.2,0.03,1.83,43.89,2.12 (1.68-2.67),60.41,1.06 (0.86-1.31),12.91,2.53 (1.77-3.62),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,ELSA,ELSA_C5,5,659,10.8,functional-dominant high-burden,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,2.48,0.39,0.82,0.48,28.1,0.94 (0.74-1.19),66.28,1.37 (1.11-1.68),15.05,3.01 (2.16-4.20),0,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
strict_earliest_primary,strict_primary,HRS,HRS_C1,1,3596,35.25,low-burden with spared cardiometabolic,none,,-0.41,-0.3,-0.27,-0.99,26.56,1.00 (1.00-1.00),77.38,1.00 (1.00-1.00),36.64,1.00 (1.00-1.00),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,HRS,HRS_C2,2,4428,43.4,cardiometabolic-dominant intermediate-burden,none,,-0.41,-0.01,-0.21,0.51,42.76,1.67 (1.51-1.85),67.02,0.70 (0.63-0.78),61.53,1.64 (1.54-1.76),0,accepted_from_phase16,No Phase 17 review flag.
strict_earliest_primary,strict_primary,HRS,HRS_C3,3,870,8.53,elevated-burden severity-aligned,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,0.4,0.39,0.35,0.46,49.67,1.92 (1.62-2.27),61.77,0.63 (0.53-0.74),73.92,2.22 (2.02-2.45),1,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
strict_earliest_primary,strict_primary,HRS,HRS_C4,4,659,6.46,affective-dominant elevated-burden,caveat,Sensitivity caveat retained; interpret as a baseline domain-profile label and do not use mortality signal to define the class.,0.77,0.49,1.5,0.01,45.9,1.85 (1.53-2.23),69.43,0.82 (0.67-1.00),68.1,2.14 (1.92-2.38),1,locked_with_caveat_auto_v0,Keep baseline domain-profile name; avoid mortality-driven interpretation and report sensitivity caveat.
