analysis_set,analysis_tier,cohort,wave,domain,common_construct,source_tier,candidate_group_index,candidate_group_role,item_order_within_group,variable,item_family,raw_direction,score_orientation,used_in_selected_domain_score,item_nonmissing_n,item_nonmissing_pct,domain_nonmissing_n,domain_nonmissing_pct,complete_four_domain_n,baseline_women_age50plus_n,comparability_flag,comparability_note
strict_earliest_primary,strict_primary,CHARLS,1,functional,functional limitation or performance burden,primary,1,primary_group,1,iadl,adl_iadl_limitation,higher_worse,higher_domain_score_worse_after_orientation,1,6818,99.13,6818,99.13,6019,6878,partial_functional_iadl_only,Functional domain uses IADL only in the current cleaned data.
strict_earliest_primary,strict_primary,CHARLS,1,cognitive,cognitive impairment burden,primary,1,primary_group,1,total_cognition,global_cognitive_score,higher_better,higher_domain_score_worse_after_orientation,1,5941,86.38,6024,87.58,6019,6878,cohort_specific_global_cognitive_score,Global cognitive scores are harmonized by orientation/z-scoring but not item-identical.
strict_earliest_primary,strict_primary,CHARLS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,1,memory_z,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,2177,31.65,6024,87.58,6019,6878,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,CHARLS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,2,orient_z,orientation,higher_better,higher_domain_score_worse_after_orientation,0,2172,31.58,6024,87.58,6019,6878,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,CHARLS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,3,imrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,5507,80.07,6024,87.58,6019,6878,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,CHARLS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,4,dlrc,memory_recall,higher_better,higher_domain_score_worse_after_orientation,0,5457,79.34,6024,87.58,6019,6878,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,CHARLS,1,cognitive,cognitive impairment burden,primary,2,fallback_group_2,5,ser7,serial_subtraction_or_numeracy,higher_better,higher_domain_score_worse_after_orientation,0,5215,75.82,6024,87.58,6019,6878,partial_cognitive_item_battery,Cognitive item batteries differ by cohort and were standardized within cohort/wave.
strict_earliest_primary,strict_primary,CHARLS,1,affective,depressive or affective symptom burden,primary,1,primary_group,1,cesd10,cesd_depressive_symptoms,higher_worse,higher_domain_score_worse_after_orientation,1,6384,92.82,6384,92.82,6019,6878,cesd_family_affective_scale,CES-D-family depressive symptom scale.
strict_earliest_primary,strict_primary,CHARLS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,1,hibpe,hypertension,higher_worse,higher_domain_score_worse_after_orientation,1,6792,98.75,6827,99.26,6019,6878,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,CHARLS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,2,diabe,diabetes,higher_worse,higher_domain_score_worse_after_orientation,1,6756,98.23,6827,99.26,6019,6878,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
strict_earliest_primary,strict_primary,CHARLS,1,cardiometabolic_chronic,cardiometabolic and chronic disease burden,primary,1,primary_group,3,hearte,heart_disease,higher_worse,higher_domain_score_worse_after_orientation,1,6787,98.68,6827,99.26,6019,6878,core_chronic_condition,Common chronic-condition indicator used in disease-count domain.
