cohort,class_id,class,label_en_final,label_zh_final,label_en_display,label_zh_display,figure_label_short,phase16_label_status,phase16_marker,phase16_lock_rule,phase15_review_reason,phase14_stability_flag_count,phase14_flagged_outcomes,phase14_flagged_adjustments,phase14_flag_reasons
CHARLS,CHARLS_C1,1,intermediate-burden severity-aligned,中等负担严重度一致型,intermediate-burden severity-aligned [review],中等负担严重度一致型 [review],C1: intermediate severity*,review_required_not_locked,*,Requires manual review before final label lock.,generic severity-aligned label,0,,,
CHARLS,CHARLS_C2,2,elevated-burden severity-aligned,较高负担严重度一致型,elevated-burden severity-aligned [review],较高负担严重度一致型 [review],C2: elevated severity*,review_required_not_locked,*,Requires manual review before final label lock.,generic severity-aligned label,0,,,
CHARLS,CHARLS_C3,3,functional-dominant high-burden,功能主导型高负担,functional-dominant high-burden,功能主导型高负担,C3: functional high,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
ELSA,ELSA_C1,1,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,intermediate-burden with spared cardiometabolic,心代谢/慢病相对保留的中等负担,C1: intermediate spared cardiomet,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
ELSA,ELSA_C2,2,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,C2: cardiomet intermediate,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
ELSA,ELSA_C3,3,elevated-burden severity-aligned,较高负担严重度一致型,elevated-burden severity-aligned [review],较高负担严重度一致型 [review],C3: elevated severity*,review_required_not_locked,*,Requires manual review before final label lock.,generic severity-aligned label,0,,,
ELSA,ELSA_C4,4,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,cardiometabolic-dominant elevated-burden,心代谢/慢病主导型较高负担,C4: cardiomet elevated,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
ELSA,ELSA_C5,5,functional-dominant high-burden,功能主导型高负担,functional-dominant high-burden [review],功能主导型高负担 [review],C5: functional high*,review_required_not_locked,*,Requires manual review before final label lock.,Phase 14 covariate sensitivity stability flag,1,functional_deterioration_ge_0_5sd,expanded_core,significance_change
HRS,HRS_C1,1,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,low-burden with spared cardiometabolic,心代谢/慢病相对保留的低负担,C1: low spared cardiomet,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
HRS,HRS_C2,2,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,cardiometabolic-dominant intermediate-burden,心代谢/慢病主导型中等负担,C2: cardiomet intermediate,locked_for_draft,,Can be used in draft tables/figures after final human sign-off.,,0,,,
HRS,HRS_C3,3,elevated-burden severity-aligned,较高负担严重度一致型,elevated-burden severity-aligned [review],较高负担严重度一致型 [review],C3: elevated severity*,review_required_not_locked,*,Requires manual review before final label lock.,mortality HR drift; Phase 14 covariate sensitivity stability flag,1,functional_deterioration_ge_0_5sd,minimal_plus_bmi,material_log_change
