Panel	Option	Panel role	Variant budget	Candidate ID	Candidate level	Candidate maturity	Data fit gate	Visual fit gate	Runtime	Env	Rendered	Render script	Intermediate file	Output PNG	Output PDF/SVG	Validation status	Reason	Raw data	Variable mapping	Rows mapped
Fig1A	Fig1A.1	main_standard	top 2-3 variants	generic_portable_template:composition/percent_stacked_bar_template.py	generic_portable_template	production_ready	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.1__generic_portable_template_composition_percent_stacked_bar_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.1__generic_portable_template_composition_percent_stacked_bar_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.1__generic_portable_template_composition_percent_stacked_bar_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.1__generic_portable_template_composition_percent_stacked_bar_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.1__generic_portable_template_composition_percent_stacked_bar_template_py.svg	standalone_render_validated	百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig1A	Fig1A.2	main_standard	top 2-3 variants	HF122_2025-12-01_893fbc2e	hf_capsule	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.2__HF122_2025_12_01_893fbc2e.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.2__HF122_2025_12_01_893fbc2e__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.2__HF122_2025_12_01_893fbc2e.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.2__HF122_2025_12_01_893fbc2e.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.2__HF122_2025_12_01_893fbc2e.svg	standalone_render_validated	2025年12月1日 Python绘制横轴百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig1A	Fig1A.3	main_standard	top 2-3 variants	mapping:0058:composition/percent_stacked_bar_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.3__mapping_0058_composition_percent_stacked_bar_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.3__mapping_0058_composition_percent_stacked_bar_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.3__mapping_0058_composition_percent_stacked_bar_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.3__mapping_0058_composition_percent_stacked_bar_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.3__mapping_0058_composition_percent_stacked_bar_template_py.svg	standalone_render_validated	2025年12月1日 Python绘制横轴百分比堆叠图\1201-横向堆叠条形图.py -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig1A	Fig1A.4	main_standard	top 2-3 variants	mapping:0174:composition/percent_stacked_bar_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.4__mapping_0174_composition_percent_stacked_bar_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.4__mapping_0174_composition_percent_stacked_bar_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.4__mapping_0174_composition_percent_stacked_bar_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.4__mapping_0174_composition_percent_stacked_bar_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.4__mapping_0174_composition_percent_stacked_bar_template_py.svg	standalone_render_validated	2026年02月16日 Python绘制堆叠面积图展示数据分布\20260215-堆叠面积图.py -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig1A	Fig1A.5	main_standard	top 2-3 variants	PERSIST-0973	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.5__PERSIST_0973.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.5__PERSIST_0973__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.5__PERSIST_0973.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.5__PERSIST_0973.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.5__PERSIST_0973.svg	standalone_render_validated	composition -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig1A	Fig1A.6	main_standard	top 2-3 variants	PERSIST-0059	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.6__PERSIST_0059.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.6__PERSIST_0059__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.6__PERSIST_0059.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.6__PERSIST_0059.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.6__PERSIST_0059.svg	standalone_render_validated	2025年12月1日 Python绘制横轴百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig1A	Fig1A.7	main_standard	top 2-3 variants	atlas:122:2025年12月1日 Python绘制横轴百分比堆叠图	hf_capsule	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig1A__Fig1A.7__atlas_122_2025_12_1_Python.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig1A__Fig1A.7__atlas_122_2025_12_1_Python__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.7__atlas_122_2025_12_1_Python.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.7__atlas_122_2025_12_1_Python.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig1A/Fig1A__Fig1A.7__atlas_122_2025_12_1_Python.svg	standalone_render_validated	百分比堆叠图 -> Which cohorts contribute to construction and validation, and how much denominator attrition occurs?	outputs/phase40_table1_baseline_clinical_design.csv; outputs/phase32_cohort_tier_lock.csv; outputs/phase37_table3_adjusted_functional_validation.csv	cohort, role, source_women50_n, complete_four_domain_n, validation_or_lfo_n, events	7
Fig2A	Fig2A.1	main_complex	top 2-3 variants	generic_portable_template:group_distribution/forest_plot_template.py	generic_portable_template	production_ready	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2A__Fig2A.1__generic_portable_template_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2A__Fig2A.1__generic_portable_template_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2A/Fig2A__Fig2A.1__generic_portable_template_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2A/Fig2A__Fig2A.1__generic_portable_template_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2A/Fig2A__Fig2A.1__generic_portable_template_group_distribution_forest_plot_template_py.svg	standalone_render_validated	森林图 -> Are the selected GMM partitions stable enough to interpret?	outputs/phase40_table2_profile_stability_guardrails.csv	cohort, role, bootstrap_median_ari, bootstrap_p10_ari, bootstrap_min_ari	7
Fig2A	Fig2A.2	main_complex	top 2-3 variants	mapping:0221:group_distribution/forest_plot_template.py	persist_indexed_code	needs_porting	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2A__Fig2A.2__mapping_0221_group_distribution_forest_plot_template_py.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2A__Fig2A.2__mapping_0221_group_distribution_forest_plot_template_py__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2A/Fig2A__Fig2A.2__mapping_0221_group_distribution_forest_plot_template_py.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2A/Fig2A__Fig2A.2__mapping_0221_group_distribution_forest_plot_template_py.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2A/Fig2A__Fig2A.2__mapping_0221_group_distribution_forest_plot_template_py.svg	standalone_render_validated	2026年05月16日 森林图\20260513-森林图.py -> Are the selected GMM partitions stable enough to interpret?	outputs/phase40_table2_profile_stability_guardrails.csv	cohort, role, bootstrap_median_ari, bootstrap_p10_ari, bootstrap_min_ari	7
Fig2B	Fig2B.1	main_complex	top 2-3 variants	generic_portable_template:correlation_omics/correlation_heatmap_template.py	generic_portable_template	production_ready	pass	pass	Python / PERSIST matplotlib	research-py312	yes	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/scripts/Fig2B__Fig2B.1__generic_portable_template_correlation_omics_correlation_heatmap_template.py	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/intermediate_tables/Fig2B__Fig2B.1__generic_portable_template_correlation_omics_correlation_heatmap_template__input_mapped.tsv	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.1__generic_portable_template_correlation_omics_correlation_heatmap_template.png	/mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.1__generic_portable_template_correlation_omics_correlation_heatmap_template.pdf; /mnt/e/Reserch/Older women/figure_redraw/persist_stage2_fig1_fig2_fig3_figS1_variants/outputs/Fig2B/Fig2B__Fig2B.1__generic_portable_template_correlation_omics_correlation_heatmap_template.svg	standalone_render_validated	相关热图+FDR -> Which alternative algorithms agree with the selected GMM labels?	outputs/phase36_gmm_algorithm_robustness.csv	cohort x method matrix of ari_vs_selected_gmm	7
